"Type.of.vehicle" "Single.Journey" "Return.Journey" "Monthly.Pass" "Local.Commercial.Vehicle" "tollbooth" "route" "concession" "Effective.Date" "Revision.Due.Date" "location" "Stretch" "Min.Road.Length" "Max.Road.Length" "funding.Model" "Capital.cost" "Commercial.Operation.Date" "Cumulative.Revenue" "Cumulative.Date" "Fee.Notification.Date" "Fee.Notification.No" "Design.Capacity" "Incharge" "Contractor" "Target.Traffic" "Target.Date" "Actual.Traffic" "Actual.Date" "Cumulative.Revenue.Discounted"
"1483" "4 to 6 Axle" 175 260 5770 85 " Undavariya/ Sirohi ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230/-" 2015-04-01 2016-03-31 " Undavariya/ Sirohi ( Public Funded )  Km 270.250 - NH-27 (Old 14 ) in Gujarat  " " Abu Road - Palanpur/Khemana  " NA "s) " "( Public Funded ) " 2030000000 2009-04-01 712400000 2015-02-28 2011-07-21 "Sr No. - S.O.1680" 4000 "Mandeep Sharma / 977285399" "Rajeev Kumar Singh" 75005 2033-12-31 20226 2014-01-31 FALSE
"1484" "HCM/EME" 175 260 5770 85 " Undavariya/ Sirohi ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230/-" 2015-04-01 2016-03-31 " Undavariya/ Sirohi ( Public Funded )  Km 270.250 - NH-27 (Old 14 ) in Gujarat  " " Abu Road - Palanpur/Khemana  " NA "s) " "( Public Funded ) " 2030000000 2009-04-01 712400000 2015-02-28 2011-07-21 "Sr No. - S.O.1680" 4000 "Mandeep Sharma / 977285399" "Rajeev Kumar Singh" 75005 2033-12-31 20226 2014-01-31 FALSE
"1485" "7 or more Axle" 210 315 7025 105 " Undavariya/ Sirohi ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles : Rs.230/-" 2015-04-01 2016-03-31 " Undavariya/ Sirohi ( Public Funded )  Km 270.250 - NH-27 (Old 14 ) in Gujarat  " " Abu Road - Palanpur/Khemana  " NA "s) " "( Public Funded ) " 2030000000 2009-04-01 712400000 2015-02-28 2011-07-21 "Sr No. - S.O.1680" 4000 "Mandeep Sharma / 977285399" "Rajeev Kumar Singh" 75005 2033-12-31 20226 2014-01-31 FALSE
"1486" "Car/Jeep/Van" 15 20 450 NA " Indore Dewas (Indore side) ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs. 230/-" 2015-04-01 2016-03-31 " Indore Dewas (Indore side) ( BOT )  Km 591.000 - NH-3 in Madhya Pradesh  " " Indore - Dewas  " 13.45 "s) " "( BOT ) " 3250000000 2011-09-01 118100000 2014-11-30 2011-06-10 "Sr No. - 1354" NA "Mr. L Vijay Kumar / 7509060021" "Indore Dewas Tollways Limited" 66792 2017-04-01 12593 2013-12-16 FALSE
"1487" "LCV" 20 35 725 NA " Indore Dewas (Indore side) ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs. 230/-" 2015-04-01 2016-03-31 " Indore Dewas (Indore side) ( BOT )  Km 591.000 - NH-3 in Madhya Pradesh  " " Indore - Dewas  " 13.45 "s) " "( BOT ) " 3250000000 2011-09-01 118100000 2014-11-30 2011-06-10 "Sr No. - 1354" NA "Mr. L Vijay Kumar / 7509060021" "Indore Dewas Tollways Limited" 66792 2017-04-01 12593 2013-12-16 FALSE
"1488" "Bus/Truck" 45 70 1520 NA " Indore Dewas (Indore side) ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs. 230/-" 2015-04-01 2016-03-31 " Indore Dewas (Indore side) ( BOT )  Km 591.000 - NH-3 in Madhya Pradesh  " " Indore - Dewas  " 13.45 "s) " "( BOT ) " 3250000000 2011-09-01 118100000 2014-11-30 2011-06-10 "Sr No. - 1354" NA "Mr. L Vijay Kumar / 7509060021" "Indore Dewas Tollways Limited" 66792 2017-04-01 12593 2013-12-16 FALSE
"1489" "Upto 3 Axle Vehicle" 70 105 2380 NA " Indore Dewas (Indore side) ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs. 230/-" 2015-04-01 2016-03-31 " Indore Dewas (Indore side) ( BOT )  Km 591.000 - NH-3 in Madhya Pradesh  " " Indore - Dewas  " 13.45 "s) " "( BOT ) " 3250000000 2011-09-01 118100000 2014-11-30 2011-06-10 "Sr No. - 1354" NA "Mr. L Vijay Kumar / 7509060021" "Indore Dewas Tollways Limited" 66792 2017-04-01 12593 2013-12-16 FALSE
"1490" "4 to 6 Axle" 70 105 2380 NA " Indore Dewas (Indore side) ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs. 230/-" 2015-04-01 2016-03-31 " Indore Dewas (Indore side) ( BOT )  Km 591.000 - NH-3 in Madhya Pradesh  " " Indore - Dewas  " 13.45 "s) " "( BOT ) " 3250000000 2011-09-01 118100000 2014-11-30 2011-06-10 "Sr No. - 1354" NA "Mr. L Vijay Kumar / 7509060021" "Indore Dewas Tollways Limited" 66792 2017-04-01 12593 2013-12-16 FALSE
"1491" "HCM/EME" 70 105 2380 NA " Indore Dewas (Indore side) ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs. 230/-" 2015-04-01 2016-03-31 " Indore Dewas (Indore side) ( BOT )  Km 591.000 - NH-3 in Madhya Pradesh  " " Indore - Dewas  " 13.45 "s) " "( BOT ) " 3250000000 2011-09-01 118100000 2014-11-30 2011-06-10 "Sr No. - 1354" NA "Mr. L Vijay Kumar / 7509060021" "Indore Dewas Tollways Limited" 66792 2017-04-01 12593 2013-12-16 FALSE
"1492" "7 or more Axle" 85 130 2900 NA " Indore Dewas (Indore side) ( BOT ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs. 230/-" 2015-04-01 2016-03-31 " Indore Dewas (Indore side) ( BOT )  Km 591.000 - NH-3 in Madhya Pradesh  " " Indore - Dewas  " 13.45 "s) " "( BOT ) " 3250000000 2011-09-01 118100000 2014-11-30 2011-06-10 "Sr No. - 1354" NA "Mr. L Vijay Kumar / 7509060021" "Indore Dewas Tollways Limited" 66792 2017-04-01 12593 2013-12-16 FALSE
"1493" "Car/Jeep/Van" 40 65 1460 20 " Nathavalasa/ Vizianagaram ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs.230/-" 2015-04-01 2016-03-31 " Nathavalasa/ Vizianagaram ( Public Funded )  Km 656.704 - NH-16 (Old 5) in Andhra Pradesh  " " Champavati/ Kopperla - Visakhapatnam  " 46 "s) " "( Public Funded ) " 1813600000 2005-05-06 607000000 2015-03-31 2005-04-25 "Sr No. - SO 1124" 40000 "Ashutosh Pareekh / 8106018266" "Eagle Infra India Ltd." NA 2017-12-31 199181 2013-02-28 TRUE
"1494" "LCV" 85 125 2790 40 " Nathavalasa/ Vizianagaram ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs.230/-" 2015-04-01 2016-03-31 " Nathavalasa/ Vizianagaram ( Public Funded )  Km 656.704 - NH-16 (Old 5) in Andhra Pradesh  " " Champavati/ Kopperla - Visakhapatnam  " 46 "s) " "( Public Funded ) " 1813600000 2005-05-06 607000000 2015-03-31 2005-04-25 "Sr No. - SO 1124" 40000 "Ashutosh Pareekh / 8106018266" "Eagle Infra India Ltd." NA 2017-12-31 199181 2013-02-28 TRUE
"1495" "Bus/Truck" 175 265 5845 90 " Nathavalasa/ Vizianagaram ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs.230/-" 2015-04-01 2016-03-31 " Nathavalasa/ Vizianagaram ( Public Funded )  Km 656.704 - NH-16 (Old 5) in Andhra Pradesh  " " Champavati/ Kopperla - Visakhapatnam  " 46 "s) " "( Public Funded ) " 1813600000 2005-05-06 607000000 2015-03-31 2005-04-25 "Sr No. - SO 1124" 40000 "Ashutosh Pareekh / 8106018266" "Eagle Infra India Ltd." NA 2017-12-31 199181 2013-02-28 TRUE
"1496" "Upto 3 Axle Vehicle" 190 285 6375 95 " Nathavalasa/ Vizianagaram ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs.230/-" 2015-04-01 2016-03-31 " Nathavalasa/ Vizianagaram ( Public Funded )  Km 656.704 - NH-16 (Old 5) in Andhra Pradesh  " " Champavati/ Kopperla - Visakhapatnam  " 46 "s) " "( Public Funded ) " 1813600000 2005-05-06 607000000 2015-03-31 2005-04-25 "Sr No. - SO 1124" 40000 "Ashutosh Pareekh / 8106018266" "Eagle Infra India Ltd." NA 2017-12-31 199181 2013-02-28 TRUE
"1497" "4 to 6 Axle" 275 415 9165 140 " Nathavalasa/ Vizianagaram ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs.230/-" 2015-04-01 2016-03-31 " Nathavalasa/ Vizianagaram ( Public Funded )  Km 656.704 - NH-16 (Old 5) in Andhra Pradesh  " " Champavati/ Kopperla - Visakhapatnam  " 46 "s) " "( Public Funded ) " 1813600000 2005-05-06 607000000 2015-03-31 2005-04-25 "Sr No. - SO 1124" 40000 "Ashutosh Pareekh / 8106018266" "Eagle Infra India Ltd." NA 2017-12-31 199181 2013-02-28 TRUE
"1498" "HCM/EME" 275 415 9165 140 " Nathavalasa/ Vizianagaram ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs.230/-" 2015-04-01 2016-03-31 " Nathavalasa/ Vizianagaram ( Public Funded )  Km 656.704 - NH-16 (Old 5) in Andhra Pradesh  " " Champavati/ Kopperla - Visakhapatnam  " 46 "s) " "( Public Funded ) " 1813600000 2005-05-06 607000000 2015-03-31 2005-04-25 "Sr No. - SO 1124" 40000 "Ashutosh Pareekh / 8106018266" "Eagle Infra India Ltd." NA 2017-12-31 199181 2013-02-28 TRUE
"1499" "7 or more Axle" 335 500 11160 165 " Nathavalasa/ Vizianagaram ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicles: Rs.230/-" 2015-04-01 2016-03-31 " Nathavalasa/ Vizianagaram ( Public Funded )  Km 656.704 - NH-16 (Old 5) in Andhra Pradesh  " " Champavati/ Kopperla - Visakhapatnam  " 46 "s) " "( Public Funded ) " 1813600000 2005-05-06 607000000 2015-03-31 2005-04-25 "Sr No. - SO 1124" 40000 "Ashutosh Pareekh / 8106018266" "Eagle Infra India Ltd." NA 2017-12-31 199181 2013-02-28 TRUE
"1500" "Car/Jeep/Van" 20 30 625 10 " Pottipadu ( BOT ) " 1 "Monthly Pass Applicable For Local Personal Vechicle Shall be Rs.230/-" 2015-04-01 2016-03-31 " Pottipadu ( BOT )  Km 1072.230 - NH-5 (Old 16) in Andhra Pradesh  " " Gundugolanu - Vijayawada  " 39.1 "s) " "( BOT ) " 16840000000 2014-09-01 438500000 2015-09-30 2013-02-18 "Sr No. - SO 402" 120000 "JAYA PRAKASH M / 7729989252" "VIJAYAWADA GUNDUGOLANU ROAD PROJECT PRIVATE LIMITED" 25058 2017-10-01 33342 2015-09-30 FALSE
"1501" "LCV" 50 75 1665 25 " Pottipadu ( BOT ) " 1 "Monthly Pass Applicable For Local Personal Vechicle Shall be Rs.230/-" 2015-04-01 2016-03-31 " Pottipadu ( BOT )  Km 1072.230 - NH-5 (Old 16) in Andhra Pradesh  " " Gundugolanu - Vijayawada  " 39.1 "s) " "( BOT ) " 16840000000 2014-09-01 438500000 2015-09-30 2013-02-18 "Sr No. - SO 402" 120000 "JAYA PRAKASH M / 7729989252" "VIJAYAWADA GUNDUGOLANU ROAD PROJECT PRIVATE LIMITED" 25058 2017-10-01 33342 2015-09-30 FALSE
"1502" "Bus/Truck" 125 190 4165 60 " Pottipadu ( BOT ) " 1 "Monthly Pass Applicable For Local Personal Vechicle Shall be Rs.230/-" 2015-04-01 2016-03-31 " Pottipadu ( BOT )  Km 1072.230 - NH-5 (Old 16) in Andhra Pradesh  " " Gundugolanu - Vijayawada  " 39.1 "s) " "( BOT ) " 16840000000 2014-09-01 438500000 2015-09-30 2013-02-18 "Sr No. - SO 402" 120000 "JAYA PRAKASH M / 7729989252" "VIJAYAWADA GUNDUGOLANU ROAD PROJECT PRIVATE LIMITED" 25058 2017-10-01 33342 2015-09-30 FALSE
"1503" "Upto 3 Axle Vehicle" 125 190 4165 60 " Pottipadu ( BOT ) " 1 "Monthly Pass Applicable For Local Personal Vechicle Shall be Rs.230/-" 2015-04-01 2016-03-31 " Pottipadu ( BOT )  Km 1072.230 - NH-5 (Old 16) in Andhra Pradesh  " " Gundugolanu - Vijayawada  " 39.1 "s) " "( BOT ) " 16840000000 2014-09-01 438500000 2015-09-30 2013-02-18 "Sr No. - SO 402" 120000 "JAYA PRAKASH M / 7729989252" "VIJAYAWADA GUNDUGOLANU ROAD PROJECT PRIVATE LIMITED" 25058 2017-10-01 33342 2015-09-30 FALSE
"1504" "4 to 6 Axle" 210 310 6920 105 " Pottipadu ( BOT ) " 1 "Monthly Pass Applicable For Local Personal Vechicle Shall be Rs.230/-" 2015-04-01 2016-03-31 " Pottipadu ( BOT )  Km 1072.230 - NH-5 (Old 16) in Andhra Pradesh  " " Gundugolanu - Vijayawada  " 39.1 "s) " "( BOT ) " 16840000000 2014-09-01 438500000 2015-09-30 2013-02-18 "Sr No. - SO 402" 120000 "JAYA PRAKASH M / 7729989252" "VIJAYAWADA GUNDUGOLANU ROAD PROJECT PRIVATE LIMITED" 25058 2017-10-01 33342 2015-09-30 FALSE
"1505" "HCM/EME" 210 310 6920 105 " Pottipadu ( BOT ) " 1 "Monthly Pass Applicable For Local Personal Vechicle Shall be Rs.230/-" 2015-04-01 2016-03-31 " Pottipadu ( BOT )  Km 1072.230 - NH-5 (Old 16) in Andhra Pradesh  " " Gundugolanu - Vijayawada  " 39.1 "s) " "( BOT ) " 16840000000 2014-09-01 438500000 2015-09-30 2013-02-18 "Sr No. - SO 402" 120000 "JAYA PRAKASH M / 7729989252" "VIJAYAWADA GUNDUGOLANU ROAD PROJECT PRIVATE LIMITED" 25058 2017-10-01 33342 2015-09-30 FALSE
"1506" "7 or more Axle" 255 380 8425 125 " Pottipadu ( BOT ) " 1 "Monthly Pass Applicable For Local Personal Vechicle Shall be Rs.230/-" 2015-04-01 2016-03-31 " Pottipadu ( BOT )  Km 1072.230 - NH-5 (Old 16) in Andhra Pradesh  " " Gundugolanu - Vijayawada  " 39.1 "s) " "( BOT ) " 16840000000 2014-09-01 438500000 2015-09-30 2013-02-18 "Sr No. - SO 402" 120000 "JAYA PRAKASH M / 7729989252" "VIJAYAWADA GUNDUGOLANU ROAD PROJECT PRIVATE LIMITED" 25058 2017-10-01 33342 2015-09-30 FALSE
"1507" "Car/Jeep/Van" 20 30 625 10 " Kalaparru ( BOT ) " 1 "Monthly Pass Applicable for Personal Local Vehicle Rs-230/-" 2015-04-01 2016-03-31 " Kalaparru ( BOT )  Km 1050.794 - NH-5 (Old 16) in Andhra Pradesh  " " Gundugolanu - Vijayawada  " 39.1 "s) " "( BOT ) " 16840000000 2014-09-01 460700000 2015-09-30 2013-02-18 "Sr No. - SO  402" 120000 "SUDHAKAR V / 7729989253" "VIJAYAWADA GUNDUGOLANU ROAD PROJECT PRIVATE LIMITED" 25058 2017-10-01 33722 2015-03-31 FALSE
"1508" "LCV" 50 75 1665 25 " Kalaparru ( BOT ) " 1 "Monthly Pass Applicable for Personal Local Vehicle Rs-230/-" 2015-04-01 2016-03-31 " Kalaparru ( BOT )  Km 1050.794 - NH-5 (Old 16) in Andhra Pradesh  " " Gundugolanu - Vijayawada  " 39.1 "s) " "( BOT ) " 16840000000 2014-09-01 460700000 2015-09-30 2013-02-18 "Sr No. - SO  402" 120000 "SUDHAKAR V / 7729989253" "VIJAYAWADA GUNDUGOLANU ROAD PROJECT PRIVATE LIMITED" 25058 2017-10-01 33722 2015-03-31 FALSE
"1509" "Bus/Truck" 125 190 4165 60 " Kalaparru ( BOT ) " 1 "Monthly Pass Applicable for Personal Local Vehicle Rs-230/-" 2015-04-01 2016-03-31 " Kalaparru ( BOT )  Km 1050.794 - NH-5 (Old 16) in Andhra Pradesh  " " Gundugolanu - Vijayawada  " 39.1 "s) " "( BOT ) " 16840000000 2014-09-01 460700000 2015-09-30 2013-02-18 "Sr No. - SO  402" 120000 "SUDHAKAR V / 7729989253" "VIJAYAWADA GUNDUGOLANU ROAD PROJECT PRIVATE LIMITED" 25058 2017-10-01 33722 2015-03-31 FALSE
"1510" "Upto 3 Axle Vehicle" 125 190 4165 60 " Kalaparru ( BOT ) " 1 "Monthly Pass Applicable for Personal Local Vehicle Rs-230/-" 2015-04-01 2016-03-31 " Kalaparru ( BOT )  Km 1050.794 - NH-5 (Old 16) in Andhra Pradesh  " " Gundugolanu - Vijayawada  " 39.1 "s) " "( BOT ) " 16840000000 2014-09-01 460700000 2015-09-30 2013-02-18 "Sr No. - SO  402" 120000 "SUDHAKAR V / 7729989253" "VIJAYAWADA GUNDUGOLANU ROAD PROJECT PRIVATE LIMITED" 25058 2017-10-01 33722 2015-03-31 FALSE
"1511" "4 to 6 Axle" 210 310 6920 105 " Kalaparru ( BOT ) " 1 "Monthly Pass Applicable for Personal Local Vehicle Rs-230/-" 2015-04-01 2016-03-31 " Kalaparru ( BOT )  Km 1050.794 - NH-5 (Old 16) in Andhra Pradesh  " " Gundugolanu - Vijayawada  " 39.1 "s) " "( BOT ) " 16840000000 2014-09-01 460700000 2015-09-30 2013-02-18 "Sr No. - SO  402" 120000 "SUDHAKAR V / 7729989253" "VIJAYAWADA GUNDUGOLANU ROAD PROJECT PRIVATE LIMITED" 25058 2017-10-01 33722 2015-03-31 FALSE
"1512" "HCM/EME" 210 310 6920 105 " Kalaparru ( BOT ) " 1 "Monthly Pass Applicable for Personal Local Vehicle Rs-230/-" 2015-04-01 2016-03-31 " Kalaparru ( BOT )  Km 1050.794 - NH-5 (Old 16) in Andhra Pradesh  " " Gundugolanu - Vijayawada  " 39.1 "s) " "( BOT ) " 16840000000 2014-09-01 460700000 2015-09-30 2013-02-18 "Sr No. - SO  402" 120000 "SUDHAKAR V / 7729989253" "VIJAYAWADA GUNDUGOLANU ROAD PROJECT PRIVATE LIMITED" 25058 2017-10-01 33722 2015-03-31 FALSE
"1513" "7 or more Axle" 255 380 8425 125 " Kalaparru ( BOT ) " 1 "Monthly Pass Applicable for Personal Local Vehicle Rs-230/-" 2015-04-01 2016-03-31 " Kalaparru ( BOT )  Km 1050.794 - NH-5 (Old 16) in Andhra Pradesh  " " Gundugolanu - Vijayawada  " 39.1 "s) " "( BOT ) " 16840000000 2014-09-01 460700000 2015-09-30 2013-02-18 "Sr No. - SO  402" 120000 "SUDHAKAR V / 7729989253" "VIJAYAWADA GUNDUGOLANU ROAD PROJECT PRIVATE LIMITED" 25058 2017-10-01 33722 2015-03-31 FALSE
"1514" "Car/Jeep/Van" 50 NA NA 25 " Sullurpet ( BOT ) " 1 "Local personal Traffic Rate for car Rs 15/-" 2015-07-01 2016-06-30 " Sullurpet ( BOT )  Km 86.000 - NH-16 (Old 5) in Andhra Pradesh  " " Tada - Nellore  " 50.8 "s) " "( BOT ) " 7500000000 2004-05-21 2424900000 2013-12-25 2004-05-07 "Sr No. - )" 80000 "S. Dileepu  Kumar  Reddy / 7702200362" "SWARNA TOLLWAY PRIVATE LIMITED" NA 2017-12-31 18629 2013-12-25 FALSE
"1515" "LCV" 90 NA NA 45 " Sullurpet ( BOT ) " 1 "Local personal Traffic Rate for car Rs 15/-" 2015-07-01 2016-06-30 " Sullurpet ( BOT )  Km 86.000 - NH-16 (Old 5) in Andhra Pradesh  " " Tada - Nellore  " 50.8 "s) " "( BOT ) " 7500000000 2004-05-21 2424900000 2013-12-25 2004-05-07 "Sr No. - )" 80000 "S. Dileepu  Kumar  Reddy / 7702200362" "SWARNA TOLLWAY PRIVATE LIMITED" NA 2017-12-31 18629 2013-12-25 FALSE
"1516" "Bus/Truck" 180 NA NA 90 " Sullurpet ( BOT ) " 1 "Local personal Traffic Rate for car Rs 15/-" 2015-07-01 2016-06-30 " Sullurpet ( BOT )  Km 86.000 - NH-16 (Old 5) in Andhra Pradesh  " " Tada - Nellore  " 50.8 "s) " "( BOT ) " 7500000000 2004-05-21 2424900000 2013-12-25 2004-05-07 "Sr No. - )" 80000 "S. Dileepu  Kumar  Reddy / 7702200362" "SWARNA TOLLWAY PRIVATE LIMITED" NA 2017-12-31 18629 2013-12-25 FALSE
"1517" "Upto 3 Axle Vehicle" 390 NA NA 195 " Sullurpet ( BOT ) " 1 "Local personal Traffic Rate for car Rs 15/-" 2015-07-01 2016-06-30 " Sullurpet ( BOT )  Km 86.000 - NH-16 (Old 5) in Andhra Pradesh  " " Tada - Nellore  " 50.8 "s) " "( BOT ) " 7500000000 2004-05-21 2424900000 2013-12-25 2004-05-07 "Sr No. - )" 80000 "S. Dileepu  Kumar  Reddy / 7702200362" "SWARNA TOLLWAY PRIVATE LIMITED" NA 2017-12-31 18629 2013-12-25 FALSE
"1518" "4 to 6 Axle" 390 NA NA 195 " Sullurpet ( BOT ) " 1 "Local personal Traffic Rate for car Rs 15/-" 2015-07-01 2016-06-30 " Sullurpet ( BOT )  Km 86.000 - NH-16 (Old 5) in Andhra Pradesh  " " Tada - Nellore  " 50.8 "s) " "( BOT ) " 7500000000 2004-05-21 2424900000 2013-12-25 2004-05-07 "Sr No. - )" 80000 "S. Dileepu  Kumar  Reddy / 7702200362" "SWARNA TOLLWAY PRIVATE LIMITED" NA 2017-12-31 18629 2013-12-25 FALSE
"1519" "HCM/EME" 390 NA NA 195 " Sullurpet ( BOT ) " 1 "Local personal Traffic Rate for car Rs 15/-" 2015-07-01 2016-06-30 " Sullurpet ( BOT )  Km 86.000 - NH-16 (Old 5) in Andhra Pradesh  " " Tada - Nellore  " 50.8 "s) " "( BOT ) " 7500000000 2004-05-21 2424900000 2013-12-25 2004-05-07 "Sr No. - )" 80000 "S. Dileepu  Kumar  Reddy / 7702200362" "SWARNA TOLLWAY PRIVATE LIMITED" NA 2017-12-31 18629 2013-12-25 FALSE
"1520" "7 or more Axle" 390 NA NA 195 " Sullurpet ( BOT ) " 1 "Local personal Traffic Rate for car Rs 15/-" 2015-07-01 2016-06-30 " Sullurpet ( BOT )  Km 86.000 - NH-16 (Old 5) in Andhra Pradesh  " " Tada - Nellore  " 50.8 "s) " "( BOT ) " 7500000000 2004-05-21 2424900000 2013-12-25 2004-05-07 "Sr No. - )" 80000 "S. Dileepu  Kumar  Reddy / 7702200362" "SWARNA TOLLWAY PRIVATE LIMITED" NA 2017-12-31 18629 2013-12-25 FALSE
"1521" "Car/Jeep/Van" 45 65 1460 NA " Sunambatti (Musunur) ( BOT ) " 1 "Monthly Pass Applicable for Local Personal Vehicle Shell be Rs. 230/- " 2015-04-01 2016-03-31 " Sunambatti (Musunur) ( BOT )  Km 1326.000 - NH-16 (Old 5) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 43.8 "s) " "( BOT ) " 25500000000 2011-11-21 1214900000 2014-03-31 2011-06-20 "Sr No. - 1423" 120000 "D.Sreedhar / 8096999060" "Simhapuri Expressway Limited" 32808 2014-03-31 32795 2014-03-31 FALSE
"1522" "LCV" 70 105 2360 NA " Sunambatti (Musunur) ( BOT ) " 1 "Monthly Pass Applicable for Local Personal Vehicle Shell be Rs. 230/- " 2015-04-01 2016-03-31 " Sunambatti (Musunur) ( BOT )  Km 1326.000 - NH-16 (Old 5) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 43.8 "s) " "( BOT ) " 25500000000 2011-11-21 1214900000 2014-03-31 2011-06-20 "Sr No. - 1423" 120000 "D.Sreedhar / 8096999060" "Simhapuri Expressway Limited" 32808 2014-03-31 32795 2014-03-31 FALSE
"1523" "Bus/Truck" 150 225 4945 NA " Sunambatti (Musunur) ( BOT ) " 1 "Monthly Pass Applicable for Local Personal Vehicle Shell be Rs. 230/- " 2015-04-01 2016-03-31 " Sunambatti (Musunur) ( BOT )  Km 1326.000 - NH-16 (Old 5) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 43.8 "s) " "( BOT ) " 25500000000 2011-11-21 1214900000 2014-03-31 2011-06-20 "Sr No. - 1423" 120000 "D.Sreedhar / 8096999060" "Simhapuri Expressway Limited" 32808 2014-03-31 32795 2014-03-31 FALSE
"1524" "Upto 3 Axle Vehicle" 235 350 7755 NA " Sunambatti (Musunur) ( BOT ) " 1 "Monthly Pass Applicable for Local Personal Vehicle Shell be Rs. 230/- " 2015-04-01 2016-03-31 " Sunambatti (Musunur) ( BOT )  Km 1326.000 - NH-16 (Old 5) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 43.8 "s) " "( BOT ) " 25500000000 2011-11-21 1214900000 2014-03-31 2011-06-20 "Sr No. - 1423" 120000 "D.Sreedhar / 8096999060" "Simhapuri Expressway Limited" 32808 2014-03-31 32795 2014-03-31 FALSE
"1525" "4 to 6 Axle" 235 350 7755 NA " Sunambatti (Musunur) ( BOT ) " 1 "Monthly Pass Applicable for Local Personal Vehicle Shell be Rs. 230/- " 2015-04-01 2016-03-31 " Sunambatti (Musunur) ( BOT )  Km 1326.000 - NH-16 (Old 5) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 43.8 "s) " "( BOT ) " 25500000000 2011-11-21 1214900000 2014-03-31 2011-06-20 "Sr No. - 1423" 120000 "D.Sreedhar / 8096999060" "Simhapuri Expressway Limited" 32808 2014-03-31 32795 2014-03-31 FALSE
"1526" "HCM/EME" 235 350 7755 NA " Sunambatti (Musunur) ( BOT ) " 1 "Monthly Pass Applicable for Local Personal Vehicle Shell be Rs. 230/- " 2015-04-01 2016-03-31 " Sunambatti (Musunur) ( BOT )  Km 1326.000 - NH-16 (Old 5) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 43.8 "s) " "( BOT ) " 25500000000 2011-11-21 1214900000 2014-03-31 2011-06-20 "Sr No. - 1423" 120000 "D.Sreedhar / 8096999060" "Simhapuri Expressway Limited" 32808 2014-03-31 32795 2014-03-31 FALSE
"1527" "7 or more Axle" 285 425 9440 NA " Sunambatti (Musunur) ( BOT ) " 1 "Monthly Pass Applicable for Local Personal Vehicle Shell be Rs. 230/- " 2015-04-01 2016-03-31 " Sunambatti (Musunur) ( BOT )  Km 1326.000 - NH-16 (Old 5) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 43.8 "s) " "( BOT ) " 25500000000 2011-11-21 1214900000 2014-03-31 2011-06-20 "Sr No. - 1423" 120000 "D.Sreedhar / 8096999060" "Simhapuri Expressway Limited" 32808 2014-03-31 32795 2014-03-31 FALSE
"1528" "Car/Jeep/Van" 70 105 2365 NA " Bolapalli ( BOT ) " 1 "Monthly Pass Applicable for Local Personal Vehicle Shell be Rs. 230/- " 2015-04-01 2016-03-31 " Bolapalli ( BOT )  Km 1200.000 - NH-16 ( Old 5 ) in Andhra Pradesh  " " Chilkaluripet - Nellore (Km 1182.802 - Km 1366.547)  " 60.695 " Ongole Bypass of 10.125 Km Km" "( BOT ) " 25500000000 2011-11-21 1085800000 2013-12-25 2011-06-20 "Sr No. - S.O.1423" 120000 "C. Kesava Reddy / 8096999030" "Simhapuri Expressway Limited" 24769 2014-03-31 21766 2013-12-25 FALSE
